customer_id,starting_date,suspension_date,observation_end_date,duration_days,event,age,income,annual_premium,has_children,marital_status,home_owner,college_degree,good_credit,county,duration_years
221300700662.0,2022-09-02,2022-09-18,2022-09-18,16,1,42.806,250000.0,756.722144,1.0,Married,1.0,0.0,1.0,Tarrant,0.0438056125941136
221303270417.0,2009-09-13,,2022-12-02,4828,0,47.305,125000.0,875.814547,0.0,Married,1.0,1.0,1.0,Tarrant,13.218343600273784
221302344595.0,2018-02-15,,2022-12-02,1751,0,41.892,70000.0,654.552197,1.0,Single,1.0,1.0,1.0,Collin,4.7939767282683095
221302961189.0,2016-10-24,,2022-12-02,2230,0,58.639,42500.0,795.654884,0.0,Single,1.0,0.0,1.0,Tarrant,6.105407255304586
221300625555.0,2022-06-24,2022-11-30,2022-11-30,159,1,55.444,125000.0,1142.30352,0.0,Unknown,0.0,0.0,1.0,Denton,0.4353182751540041
221300537625.0,2018-01-05,,2022-12-02,1792,0,50.639,62500.0,941.240407,0.0,Married,1.0,0.0,1.0,Collin,4.906228610540725
221302889727.0,2011-02-09,,2022-12-02,4314,0,57.306,37500.0,905.005388,0.0,Married,1.0,1.0,1.0,Tarrant,11.811088295687885
221302021000.0,2017-02-24,,2022-12-02,2107,0,56.389,52500.0,631.19797,1.0,Single,0.0,0.0,1.0,Dallas,5.768651608487337
221300654887.0,2022-04-28,,2022-12-02,218,0,47.806,80372.176,739.745396,0.0,Unknown,0.0,0.0,1.0,Tarrant,0.5968514715947981
221300754849.0,2016-04-28,,2022-12-02,2409,0,55.444,70000.0,512.480847,0.0,Unknown,0.0,0.0,1.0,Dallas,6.595482546201232
221301231194.0,2018-04-06,2022-03-21,2022-03-21,1445,1,36.559,42500.0,929.747714,0.0,Single,1.0,0.0,0.0,Dallas,3.9561943874058874
221302946859.0,2016-12-30,,2022-12-02,2163,0,32.726,70000.0,506.416754,0.0,Married,1.0,0.0,1.0,Dallas,5.921971252566735
221303215787.0,2016-09-23,,2022-12-02,2261,0,38.557,125000.0,872.866971,1.0,Single,1.0,0.0,1.0,Tarrant,6.190280629705681
221300850271.0,2020-12-09,,2022-12-02,723,0,55.444,80372.176,849.405121,0.0,Unknown,1.0,0.0,1.0,Denton,1.9794661190965093
221302282662.0,2005-09-11,2022-08-30,2022-08-30,6197,1,90.724,27500.0,1230.061052,0.0,Single,0.0,0.0,1.0,Collin,16.966461327857633
221303014000.0,2015-07-22,,2022-12-02,2690,0,67.053,22500.0,978.691713,1.0,Married,1.0,0.0,0.0,Dallas,7.364818617385352
221303118295.0,2005-09-11,,2022-12-02,6291,0,80.474,22500.0,823.455231,0.0,Married,1.0,1.0,0.0,Dallas,17.22381930184805
