customer_id,starting_date,suspension_date,observation_end_date,duration_days,event,age,income,annual_premium,has_children,marital_status,home_owner,college_degree,good_credit,county,duration_years,rsf_risk_score,risk_group,observed_premium_value,score_quartile
221301193340.0,2018-10-28,2022-03-10,2022-03-10,1229,1,58.891,70000.0,620.175666,1.0,Married,1.0,1.0,1.0,Collin,3.3648186173853527,106.65608215332033,Medium,2086.77862700616,Q2
221300798946.0,2011-12-05,,2022-12-02,4015,0,55.444,80372.176,947.302342,0.0,Unknown,0.0,0.0,1.0,Dallas,10.992470910335388,132.61167907714844,High,10413.193437727585,Q3
221303141611.0,2010-10-30,,2022-12-02,4416,0,55.444,80372.176,570.466414,0.0,Unknown,0.0,0.0,0.0,Kaufman,12.09034907597536,131.21287536621094,High,6897.138081379877,Q3
221300342152.0,2020-12-09,,2022-12-02,723,0,55.444,80372.176,725.414057,0.0,Unknown,0.0,0.0,1.0,Dallas,1.9794661190965093,134.9954071044922,High,1435.9325481478438,Q4
221301967610.0,2015-06-07,,2022-12-02,2735,0,42.891,125000.0,1109.19274,1.0,Single,1.0,1.0,1.0,Dallas,7.488021902806297,103.88766479492188,Medium,8305.65953155373,Q2
221302186150.0,2014-08-14,,2022-12-02,3032,0,51.138,87500.0,959.413394,1.0,Married,1.0,0.0,0.0,Tarrant,8.301163586584531,139.39739990234375,High,7964.247530754278,Q4
221302675334.0,2018-05-22,,2022-12-02,1655,0,48.14,57500.0,1302.576026,1.0,Married,0.0,1.0,1.0,Dallas,4.531143052703627,118.69579315185548,Medium,5902.158310828199,Q3
221302915637.0,2010-10-04,,2022-12-02,4442,0,34.138,80372.176,550.752271,0.0,Unknown,0.0,0.0,0.0,Kaufman,12.161533196440796,174.5115203857422,High,6697.992026781657,Q4
221300373549.0,2017-10-13,,2022-12-02,1876,0,69.306,125000.0,840.986758,1.0,Married,1.0,0.0,1.0,Denton,5.136208076659822,85.4703369140625,Low,4319.4829788035595,Q1
221302841487.0,2005-09-11,,2022-12-02,6291,0,78.891,37500.0,872.686472,0.0,Single,1.0,0.0,1.0,Dallas,17.22381930184805,72.87413787841797,Low,15030.994100895277,Q1
221302146446.0,2017-06-03,2022-06-30,2022-06-30,1853,1,55.444,47500.0,1111.691836,0.0,Single,1.0,0.0,1.0,Collin,5.073237508555784,110.47473907470705,Medium,5639.876720350445,Q2
221301531260.0,2015-08-14,,2022-12-02,2667,0,90.968,70000.0,608.723501,1.0,Single,1.0,1.0,1.0,Denton,7.301848049281314,73.0155258178711,Low,4444.806508328542,Q1
221303075571.0,2016-07-22,,2022-12-02,2324,0,39.138,17500.0,921.983007,0.0,Married,1.0,0.0,1.0,Denton,6.362765229295003,159.08445739746094,High,5866.361418940452,Q4
