test_row_id,risk_score,risk_group
0,106.65608215332031,Medium
1,132.61167907714844,High
2,131.21287536621094,High
3,134.9954071044922,High
4,103.88766479492188,Medium
5,139.39739990234375,High
6,118.69579315185547,Medium
7,174.5115203857422,High
8,85.4703369140625,Low
9,72.87413787841797,Low
10,110.47473907470703,Medium
11,73.0155258178711,Low
12,159.08445739746094,High
13,72.79193115234375,Low
14,94.11113739013672,Low
15,80.17483520507812,Low
16,63.01863098144531,Low
17,139.8568572998047,High
18,124.38910675048828,Medium
19,90.94014739990234,Low
20,115.15459442138672,Medium
21,80.5662841796875,Low
22,123.37218475341797,Medium
23,113.42804718017578,Medium
24,186.58981323242188,High
25,184.4502410888672,High
26,106.58744812011719,Medium
27,135.26333618164062,High
28,96.7293701171875,Low
29,90.50952911376953,Low
30,116.0587387084961,Medium
31,92.34528350830078,Low
32,130.10366821289062,High
33,103.93981170654297,Medium
34,128.19537353515625,High
35,139.953857421875,High
36,123.08771514892578,Medium
37,103.93843841552734,Medium
38,92.36459350585938,Low
39,132.67552185058594,High
40,113.42515563964844,Medium
41,118.24385070800781,Medium
42,202.93655395507812,High
43,93.7076187133789,Low
44,117.40638732910156,Medium
45,211.39633178710938,High
46,120.65764617919922,Medium
47,97.14620208740234,Low
48,97.68102264404297,Low
49,133.17929077148438,High
50,135.97036743164062,High
51,162.38304138183594,High
52,70.528076171875,Low
53,264.68060302734375,High
54,69.3106689453125,Low
55,124.1902847290039,Medium
56,128.5345458984375,High
57,82.2320327758789,Low
58,127.54432678222656,High
59,108.97178649902344,Medium
60,86.00595092773438,Low
61,120.52265930175781,Medium
62,128.5345458984375,High
63,153.33351135253906,High
64,124.69265747070312,Medium
65,114.1237564086914,Medium
66,157.27293395996094,High
67,141.06649780273438,High
68,139.59889221191406,High
69,82.81973266601562,Low
70,76.98213195800781,Low
71,220.9369659423828,High
72,118.94158172607422,Medium
73,114.45549774169922,Medium
74,105.00845336914062,Medium
75,126.01551055908203,Medium
76,72.557861328125,Low
77,94.615234375,Low
78,85.00892639160156,Low
79,77.55593872070312,Low
80,97.79624938964844,Low
81,123.43555450439453,Medium
82,80.43470764160156,Low
83,154.16700744628906,High
84,142.13900756835938,High
85,83.04507446289062,Low
86,87.60005187988281,Low
87,240.30299377441406,High
88,101.1959457397461,Medium
89,223.6405029296875,High
90,67.94824981689453,Low
91,85.6668472290039,Low
92,183.2873077392578,High
93,117.40638732910156,Medium
94,89.30960845947266,Low
95,111.28042602539062,Medium
96,74.62410736083984,Low
97,90.56916046142578,Low
98,110.80628204345703,Medium
99,228.78892517089844,High
100,139.6496124267578,High
101,127.13179016113281,Medium
102,95.87225341796875,Low
103,114.23872375488281,Medium
104,156.91091918945312,High
105,141.49896240234375,High
106,85.0087661743164,Low
107,94.78096008300781,Low
108,89.68858337402344,Low
109,95.02849578857422,Low
110,85.38379669189453,Low
111,127.14501953125,Medium
112,64.61199951171875,Low
113,144.09518432617188,High
114,86.53850555419922,Low
115,123.05329895019531,Medium
116,137.187255859375,High
117,109.6810302734375,Medium
118,129.76937866210938,High
119,133.40814208984375,High
120,238.8182373046875,High
121,63.03010177612305,Low
122,136.84414672851562,High
123,125.65713500976562,Medium
124,151.47071838378906,High
125,112.45745086669922,Medium
126,114.8884048461914,Medium
127,118.20006561279297,Medium
128,86.06977844238281,Low
129,116.46489715576172,Medium
130,105.7100601196289,Medium
131,121.96891021728516,Medium
132,113.27863311767578,Medium
133,67.73558044433594,Low
134,84.27565002441406,Low
135,132.74163818359375,High
136,78.08314514160156,Low
137,98.21939086914062,Low
138,117.80134582519531,Medium
139,176.9778594970703,High
140,96.45724487304688,Low
141,95.23182678222656,Low
142,87.55912780761719,Low
143,91.38032531738281,Low
144,108.52019500732422,Medium
145,195.029052734375,High
146,132.2599334716797,High
147,80.7913818359375,Low
148,103.98331451416016,Medium
149,79.54521179199219,Low
150,155.86021423339844,High
151,97.60707092285156,Low
152,106.33817291259766,Medium
153,273.10968017578125,High
154,90.49284362792969,Low
155,186.68359375,High
156,117.56330871582031,Medium
157,116.48838806152344,Medium
158,112.58013153076172,Medium
159,83.4193344116211,Low
160,81.3472671508789,Low
161,77.31459045410156,Low
162,240.39476013183594,High
163,127.54432678222656,High
164,104.05859375,Medium
165,125.52507019042969,Medium
166,121.98928833007812,Medium
167,95.59806823730469,Low
168,116.89183807373047,Medium
169,100.47510528564453,Low
170,95.33612060546875,Low
171,227.8327178955078,High
172,131.13514709472656,High
173,75.8462905883789,Low
174,138.9368438720703,High
175,90.42918395996094,Low
176,109.62451934814453,Medium
177,130.37008666992188,High
178,114.37934875488281,Medium
179,113.90047454833984,Medium
180,258.10638427734375,High
181,122.18937683105469,Medium
182,81.05318450927734,Low
183,135.14218139648438,High
184,126.21775817871094,Medium
185,57.618743896484375,Low
186,63.30529022216797,Low
187,76.14350128173828,Low
188,55.80033874511719,Low
189,130.26348876953125,High
190,133.1083221435547,High
191,127.54432678222656,High
192,139.98716735839844,High
193,93.79310607910156,Low
194,94.5182876586914,Low
195,97.7841796875,Low
196,99.0693588256836,Low
197,67.53632354736328,Low
198,95.8952407836914,Low
199,135.92153930664062,High
200,124.63835906982422,Medium
201,106.97564697265625,Medium
202,248.2271728515625,High
203,93.026123046875,Low
204,149.64720153808594,High
205,87.47206115722656,Low
206,88.72863006591797,Low
207,115.04393768310547,Medium
208,86.09427642822266,Low
209,115.57525634765625,Medium
210,97.07279205322266,Low
211,103.17988586425781,Medium
212,78.18462371826172,Low
213,62.60274124145508,Low
214,92.59347534179688,Low
215,137.37844848632812,High
216,120.65764617919922,Medium
217,117.68426513671875,Medium
218,122.91676330566406,Medium
219,136.5420379638672,High
220,119.56998443603516,Medium
221,87.28236389160156,Low
222,113.15826416015625,Medium
223,123.38301086425781,Medium
224,129.3126983642578,High
225,86.7623519897461,Low
226,117.40638732910156,Medium
227,113.58106994628906,Medium
228,127.14501953125,Medium
229,136.31419372558594,High
230,76.13668060302734,Low
231,121.53225708007812,Medium
